,userID,itemID,rating,SIDO,SI
3,e_e000005,갤럭시호텔,5.0,인천,중구
7,e_e000005,갤럭시호텔,5.0,인천,중구
12,e_e000005,호텔 스카이파크 인천 송도,5.0,인천,연수구
13,e_e000005,호텔 스카이파크 인천 송도,5.0,인천,연수구
16,e_e000005,더 위크앤 리조트,5.0,인천,중구
19,e_e000005,더 위크앤 리조트,5.0,인천,중구
67,e_e000316,마루 호텔 본관,4.0,경기,수원시
124,e_e003226,온양온천랜드,5.0,충남,아산시
132,e_e004870,서운산 자연휴양림,5.0,경기,안성시
256,f_f000030,이틀 호텔,3.0,충남,아산시
257,f_f000030,이틀 호텔,3.0,충남,아산시
271,f_f001718,김군 게스트하우스,4.0,충북,단양군
276,f_f002508,슈거 브리 움 리조트,4.0,전남,여수시
289,f_f009789,유탑 마리나호텔 리조트,4.0,전남,여수시
291,f_f009789,유탑 마리나호텔 리조트,4.0,전남,여수시
332,g_g000003,찰리 하우스,4.0,전북,군산시
334,g_g000003,찰리 하우스,4.0,전북,군산시
353,g_g000005,더 리즈 호텔,4.0,대전,중구
356,g_g000005,더 리즈 호텔,4.0,대전,중구
377,g_g000010,이둔 호텔,4.0,전북,완주군
390,g_g000016,호텔 아이콘,5.0,전북,군산시
399,g_g000016,호텔 아이콘,5.0,전북,군산시
400,g_g000016,호텔 아이콘,4.0,전북,군산시
462,g_g000191,풍남헌,4.0,전북,전주시
468,g_g000191,풍남헌,4.0,전북,전주시
489,g_g000198,스테이 사계,4.0,전북,순창군
495,g_g000204,동운장,1.0,전남,여수시
497,g_g000204,동운장,1.0,전남,여수시
501,g_g000204,여수 비치리조트,5.0,전남,여수시
503,g_g000204,여수 비치리조트,5.0,전남,여수시
512,g_g000206,호텔 여기 어때 광주역점,4.0,광주,북구
519,g_g000206,호텔 여기 어때 광주역점,4.0,광주,북구
524,g_g000206,호텔 여기 어때 광주역점,4.0,광주,북구
535,g_g000210,호텔써밋,4.0,광주,광산구
537,g_g000210,호텔써밋,5.0,광주,광산구
538,g_g000210,브라운 도트 호텔 광주하남점,4.0,광주,광산구
543,g_g000210,브라운 도트 호텔 광주하남점,4.0,광주,광산구
555,g_g000215,굿모닝 레지던스 휴,4.0,대전,서구
557,g_g000215,굿모닝 레지던스 휴,4.0,대전,서구
565,g_g000220,국립 신시도 자연휴양림,4.0,전북,군산시
566,g_g000220,국립 신시도 자연휴양림,4.0,전북,군산시
627,g_g000233,3917마 중,5.0,전남,나주시
630,g_g000233,3917마 중,5.0,전남,나주시
637,g_g000234,해비알풀빌라,4.0,충청남도,태안군
639,g_g000234,해비알풀빌라,4.0,충남,태안군
652,g_g000235,호텔현대 바이라 한 목포,4.0,전남,영암군
657,g_g000235,호텔현대 바이라 한 목포,5.0,전남,영암군
663,g_g000235,가 봄 호텔,2.0,전남,목포시
709,g_g000239,호텔 1945,4.0,전북,군산시
729,g_g000240,브라운 도트 호텔 순천역점,5.0,전남,순천시
743,g_g000242,뜰 식당,4.0,전라남도,여수시
752,g_g000242,뜰 식당,4.0,전남,여수시
778,g_g000251,제암산 자연휴양림,5.0,전남,보성군
792,g_g000256,국립 신시도 자연휴양림,4.0,전북,군산시
795,g_g000256,국립 신시도 자연휴양림,4.0,전북,군산시
827,g_g000259,잉카의 태양 모텔,3.0,대전,유성구
854,g_g000260,탑클라우드 호텔 군산점,5.0,전북,군산시
857,g_g000260,탑클라우드 호텔 군산점,5.0,전북,군산시
874,g_g000262,인더웅,4.0,전남,목포시
877,g_g000262,인더웅,3.0,전남,목포시
883,g_g000262,인더웅,4.0,전남,목포시
893,g_g000262,인더웅,4.0,전남,목포시
905,g_g000264,라마다플라자 바이 윈덤 여수,4.0,전남,여수시
907,g_g000264,라마다플라자 바이 윈덤 여수,4.0,전남,여수시
910,g_g000264,라마다플라자 바이 윈덤 여수,4.0,전남,여수시
914,g_g000264,라마다플라자 바이 윈덤 여수,4.0,전남,여수시
916,g_g000264,라마다플라자 바이 윈덤 여수,4.0,전남,여수시
941,g_g000269,롯데리조트,4.0,충남,부여군
942,g_g000269,롯데리조트,4.0,충남,부여군
946,g_g000269,롯데리조트,4.0,충남,부여군
951,g_g000269,영인산자연휴양림,3.0,충남,아산시
1064,g_g000298,대천 메리 머드 호텔,5.0,충남,보령시
1066,g_g000298,대천 메리 머드 호텔,4.0,충남,보령시
1076,g_g000298,대천 메리 머드 호텔,5.0,충남,보령시
1092,g_g000299,한화리조트 대천 파로스,4.0,충남,보령시
1100,g_g000299,한화리조트 대천 파로스,4.0,충남,보령시
1108,g_g000301,탑클라우드 호텔 군산점,5.0,전북,군산시
1111,g_g000301,탑클라우드 호텔 군산점,5.0,전북,군산시
1112,g_g000301,탑클라우드 호텔 군산점,5.0,전북,군산시
1129,g_g000301,탑클라우드 호텔 군산점,5.0,전북,군산시
1134,g_g000305,굿모닝 레지던스 휴,4.0,대전,서구
1137,g_g000305,굿모닝 레지던스 휴,4.0,대전,서구
1145,g_g000306,중리 어촌체험마을,4.0,충남,서산시
1155,g_g000308,나본리조트,5.0,전북,무주군
1180,g_g000309,저스트 슬립 호텔 유성온천점,3.0,대전,유성구
1182,g_g000309,저스트 슬립 호텔 유성온천점,4.0,대전,유성구
1184,g_g000309,저스트 슬립 호텔 유성온천점,3.0,대전,유성구
1186,g_g000309,저스트 슬립 호텔 유성온천점,3.0,대전,유성구
1193,g_g000311,더 스위트호텔 남원,5.0,전북,남원시
1197,g_g000311,더 스위트호텔 남원,5.0,전북,남원시
1213,g_g000312,코트야드 바이 메리어트 세종,5.0,세종특별자치시,어진동
1238,g_g000314,CS 호텔,5.0,광주광역시,서구
1245,g_g000314,CS 호텔,5.0,광주,서구
1259,g_g000316,호텔 윈,2.0,전북,군산시
1273,g_g000318,국립 변산 자연휴양림,4.0,전북,부안군
1279,g_g000318,모 항해 나루 가족호텔,5.0,전북,부안군
1285,g_g000319,호텔 디 에디션,4.0,대전,서구
1288,g_g000319,호텔 디 에디션,4.0,대전,서구
1298,g_g000319,호텔 디 에디션,4.0,대전,서구
1306,g_g000320,산들가오 웅포마을,3.0,전북,익산시
1307,g_g000320,산들가오 웅포마을,4.0,전북,익산시
1313,g_g000320,국립 신시도 자연휴양림,4.0,전북,군산시
1349,g_g000328,등대가 스트 하우스,3.0,전남,목포시
1353,g_g000328,종달새 노래할 때,4.0,전남,신안군
1359,g_g000328,종달새 노래할 때,4.0,전남,신안군
1369,g_g000334,호텔 어바웃,3.0,충북,청주시
1426,g_g000345,히든베이 호텔,1.0,전남,여수시
1459,g_g000351,소노벨,5.0,전북,부안군
1460,g_g000351,소노벨,5.0,전북,부안군
1468,g_g000354,소논문 단양,3.0,충북,단양군
1473,g_g000354,소논문 단양,3.0,충북,단양군
1480,g_g000357,라마다플라자 바이 윈덤 여수,4.0,전남,여수시
1485,g_g000357,라마다플라자 바이 윈덤 여수,4.0,전남,여수시
1520,g_g000374,블랙스톤 벨포르 리조트 웰컴센터,5.0,충북,증평군
1524,g_g000374,블랙스톤 벨포르 리조트,5.0,충북,증평군
1525,g_g000374,블랙스톤 벨포르 리조트,5.0,충북,증평군
1530,g_g000374,블랙스톤 벨포르 리조트,5.0,충북,증평군
1539,g_g000378,어반 라이프 호텔,5.0,광주,서구
1541,g_g000378,어반 라이프 호텔,5.0,광주,서구
1550,g_g000378,호텔 드 몽드,5.0,전남,담양군
1572,g_g000380,넘버 25 공주신 관점,3.0,충남,공주시
1578,g_g000380,넘버 25 공주신 관점,3.0,충남,공주시
1603,g_g000389,제이브라운 호텔,5.0,전북,전주시
1613,g_g000389,숨,4.0,전북,전주시
1617,g_g000389,숨,5.0,전북,전주시
1626,g_g000391,더조선호텔 수안보,5.0,충청북도,충주시
1630,g_g000391,더조선호텔 수안보,4.0,충청북도,충주시
1633,g_g000391,더조선호텔 수안보,5.0,충청북도,충주시
1638,g_g000391,더조선호텔 수안보,4.0,충청북도,충주시
1640,g_g000391,더조선호텔 수안보,4.0,충청북도,충주시
