,userID,itemID,rating,SIDO,SI
21,e_e000009,호텔 프라하,1.0,경기,평택시
104,e_e000020,파르티아 워터하우스,4.0,경기,가평군
106,e_e000020,파르티아 워터하우스,4.0,경기,가평군
116,e_e000021,호텔 헤르메스,4.0,경기,화성시
119,e_e000021,호텔 헤르메스,4.0,경기,화성시
158,e_e000038,호텔 더 메이,5.0,경기,화성시
230,e_e000294,한화리조트 용인 베잔송,4.0,경기,용인시
232,e_e000294,봉화 회관,3.0,경기,용인시
240,e_e000296,류 게스트하우스,2.0,서울,강남구
246,e_e000296,류 게스트하우스,4.0,서울,강남구
264,e_e000301,콘래드,5.0,서울,영등포구
323,e_e000317,토요코인 호텔 영등포점,4.0,서울,영등포구
325,e_e000317,토요코인 호텔 영등포점,5.0,서울,영등포구
381,e_e000323,제이 모텔,4.0,경기,수원시
384,e_e000323,제이 모텔,4.0,경기,수원시
406,e_e000331,드림 게스트하우스,4.0,서울,중구
410,e_e000331,드림 게스트하우스,4.0,서울,중구
413,e_e000331,준 게스트하우스,4.0,서울,마포구
415,e_e000331,준 게스트하우스,4.0,서울,마포구
422,e_e000332,누 누 모텔,5.0,서울,종로구
426,e_e000334,호텔 스테이지 79,5.0,경기,의정부시
436,e_e000336,호텔에 펠리체,5.0,서울,강서구
439,e_e000336,켄싱턴리조트,5.0,서울,영등포구
472,e_e000344,롯데호텔,4.0,서울,송파구
473,e_e000344,롯데호텔,4.0,서울,송파구
477,e_e000345,W 미니 호텔,4.0,서울,성북구
526,e_e000352,신라스테이,5.0,서울,종로구
559,e_e000362,글램비글램핑,5.0,경기,화성시
575,e_e000366,라마다 앙코르 바이 윈덤 김포한강호텔,4.0,경기도,김포시
577,e_e000366,라마다 앙코르 바이 윈덤 김포한강호텔,4.0,경기,김포시
579,e_e000366,현대 프리미엄 아울렛 김포점,4.0,경기,김포시
586,e_e000369,신라스테이,4.0,서울,종로구
595,e_e000371,힐스테이트에코 마곡나루역 오피스텔,5.0,서울,강서구
599,e_e000371,힐스테이트 에코 마곡 오피스텔,5.0,서울,강서구
662,e_e000385,어반 티지 글램핑 카라반,4.0,인천,강화군
673,e_e000395,파크 마린 호텔,5.0,인천,남동구
674,e_e000395,파크 마린 호텔,5.0,인천,남동구
683,e_e000396,파라다이스 시티 원더 박스,4.0,인천,중구
684,e_e000396,파라다이스 시티,5.0,인천,중구
687,e_e000396,파라다이스 시티,5.0,인천,중구
699,e_e000403,쉐르빌 온천관광호텔,5.0,경기,양평군
740,e_e000412,호텔도노,4.0,경기,수원시
744,e_e000412,호텔도노,4.0,경기,수원시
760,e_e000422,포 포인츠 바이 쉐라톤 조선 서울 명동,5.0,서울,중구
764,e_e000422,포 포인츠 바이 쉐라톤 조선 서울 명동,5.0,서울,중구
769,e_e000422,포 포인츠 바이 쉐라톤 서울 구로,5.0,서울,구로구
782,e_e000430,호텔코고라,3.0,인천,부평구
787,e_e000430,호텔코고라,4.0,인천,부평구
793,e_e000430,호텔 아띠,4.0,인천,중구
799,e_e000432,포 포인츠 바이 쉐라톤 수원 호텔,5.0,경기,수원시
801,e_e000432,포 포인츠 바이 쉐라톤 수원 호텔,5.0,경기,수원시
802,e_e000432,포 포인츠 바이 쉐라톤 수원 호텔,4.0,경기도,수원시
822,e_e000438,나인 트리 프리미어 호텔 인사동,5.0,서울,종로구
826,e_e000438,나인 트리 프리미어 호텔 인사동,5.0,서울,종로구
832,e_e000438,나인 트리 프리미어 호텔 인사동,5.0,서울,종로구
878,e_e000451,토요코인 호텔 인천 부평점,3.0,인천,부평구
884,e_e000453,소테츠호텔즈 더 스페라지르 서울 명동,4.0,서울,중구
889,e_e000453,소테츠호텔즈 더 스페라 지르 서울 명동,4.0,서울,중구
890,e_e000453,소테츠호텔즈 더 스페라 지르 서울 명동,4.0,서울,중구
906,e_e000453,소테츠호텔즈 더 스페라지르 서울 명동,4.0,서울,중구
923,e_e000460,그랜드 인터컨티넨탈 서울 파르나스,5.0,서울,강남구
927,e_e000460,그랜드 인터컨티넨탈 서울 파르나스,5.0,서울,강남구
948,e_e000472,바나나 PC,5.0,서울,강남구
951,e_e000472,더 큐브 호텔,5.0,서울,중구
955,e_e000472,더 큐브 호텔,4.0,서울,중구
961,e_e000472,서울숲 스테이,5.0,서울,성동구
986,e_e000474,아셈 호텔,5.0,경기,김포시
1033,e_e000482,글래드,4.0,서울,영등포구
1038,e_e000482,글래드,4.0,서울,영등포구
1046,e_e000483,가평 프리미엄 키즈 풀빌라,3.0,경기,가평군
1047,e_e000483,가평 프리미엄 키즈 풀빌라,3.0,경기,가평군
1060,e_e000490,호텔쿠레타케소 인사동,4.0,서울,종로구
1063,e_e000490,호텔쿠레타케소 인사동,4.0,서울,종로구
1073,e_e000491,자일 랜드 글램핑,5.0,경기,포천시
1086,e_e000496,경원재앰배서더 인천,5.0,인천,연수구
1093,e_e000500,아멕스 랜드,1.0,경기,연천군
1099,e_e000500,아멕스 랜드,5.0,경기,연천군
1128,e_e000509,토요코인 호텔 영등포점,5.0,서울,영등포구
1132,e_e000509,토요코인 호텔 영등포점,5.0,서울,영등포구
1179,e_e000526,서울 큐브의화,4.0,서울,마포구
1215,e_e000540,파크 마린 호텔,4.0,인천,남동구
1218,e_e000540,파크 마린 호텔,4.0,인천광역시,남동구
1247,e_e000547,경기도 교직원 가평 서덕원,5.0,경기,가평군
1252,e_e000548,곤지암리조트,5.0,경기,광주시
1292,e_e000561,아트 폴레,4.0,인천,연수구
1314,e_e000563,호텔야자,3.0,서울,종로구
1348,e_e000567,국립 아세안자연휴양림,5.0,경기,양주시
1381,e_e000590,탑클라우드 호텔 수원점,5.0,경기,수원시
1383,e_e000590,탑클라우드 호텔 수원점,5.0,경기,수원시
1384,e_e000590,탑클라우드 호텔 수원점,5.0,경기도,수원시
1406,e_e000595,곤지암리조트,4.0,경기,광주시
1409,e_e000595,곤지암리조트,5.0,경기,광주시
1422,e_e000599,더 플라자,4.0,서울,중구
1449,e_e000603,호텔 PJ,5.0,서울,중구
1453,e_e000603,호텔 PJ,5.0,서울,중구
1489,e_e000607,일월일지,5.0,경기,양평군
1496,e_e000608,라마다 서울 동대문,4.0,서울특별시,중구
1530,e_e000615,호텔 소노,5.0,충남,청양군
1531,e_e000615,호텔 소노,5.0,인천,중구
1537,e_e000618,더 플라자,5.0,서울,중구
1540,e_e000618,더 플라자,4.0,서울,중구
1548,e_e000618,더 플라자,4.0,서울,중구
1563,e_e000621,홀리데이인 인천 송도,4.0,인천,연수구
1564,e_e000621,홀리데이인 인천 송도,5.0,인천,연수구
1574,e_e000621,홀리데이인 인천 송도,4.0,인천,연수구
1589,e_e000623,반달곰이 살던 숲,5.0,경기,화성시
1590,e_e000623,반달곰이 살던 숲,5.0,경기,화성시
1601,e_e000627,올라 카이 송도파크호텔,5.0,인천,연수구
1608,e_e000627,올라 카이 송도파크호텔,5.0,인천,연수구
1612,e_e000627,올라 카이 송도파크호텔,5.0,인천,연수구
1616,e_e000628,소노휴,5.0,경기,양평군
1620,e_e000628,클럽 보드리조트,5.0,경기,가평군
1708,e_e000655,A 플러스 호텔,4.0,경기,부천시
1711,e_e000655,에스 모텔,2.0,경기,부천시
1714,e_e000655,에스 모텔,2.0,경기,부천시
1776,e_e000673,위코스테이,5.0,인천,중구
1789,e_e000680,페어몬트앰배서더,4.0,서울,영등포구
1797,e_e000680,페어몬트앰배서더,4.0,서울,영등포구
1804,e_e000680,페어몬트앰배서더,4.0,서울,영등포구
1815,e_e000682,호텔 달,5.0,경기,수원시
1818,e_e000682,호텔 달,5.0,경기,수원시
1969,e_e000715,호텔 지트,4.0,경기,시흥시
1998,e_e000733,자연과 별 가평 천문대,3.0,경기,가평군
2004,e_e000734,힐스테이트 삼송역 스칸센 오피스텔(2블록),4.0,경기,고양시
2008,e_e000734,힐스테이트 삼송역 스칸센 오피스텔(2블록),4.0,경기,고양시
2014,e_e000734,힐스테이트 삼송역 스칸센 오피스텔(2블록),4.0,경기,고양시
2059,e_e000747,해목 글램핑,5.0,경기,가평군
2126,e_e000765,라벤더 온천 모텔,4.0,경기,화성시
2142,e_e000771,곤지암리조트 West 빌리지,1.0,경기,광주시
2152,e_e000774,더블 스테이 쁘띠로 키즈 풀빌라,4.0,경기,가평군
2166,e_e000785,미리내리조트 힐 빅클럽,5.0,경기,양평군
2183,e_e000789,파크뷰 테라스 호텔,5.0,경기,파주시
2238,e_e000804,글래드 마포,5.0,서울,마포구
2242,e_e000804,호텔 라르,5.0,경기,김포시
2245,e_e000804,호텔 라르,5.0,경기,김포시
2251,e_e000804,호텔 라르,5.0,경기,김포시
2299,e_e000810,소담빌,5.0,서울,노원구
2324,e_e000812,경기도 교직원 가평 서덕원,5.0,경기,가평군
2356,e_e000828,호텔 알로하,3.0,경기,포천시
2362,e_e000828,호텔 알로하,3.0,경기,포천시
2365,e_e000828,호텔 알로하,3.0,경기,포천시
2400,e_e000841,호텔도노,4.0,경기,수원시
2406,e_e000841,호텔도노,4.0,경기,수원시
2415,e_e000844,소피텔앰배서더,4.0,서울,송파구
2417,e_e000844,소피텔앰배서더,5.0,서울,송파구
2454,e_e000856,맹그로브 신설점,4.0,서울,동대문구
2457,e_e000856,맹그로브 신설점,4.0,서울,동대문구
2465,e_e000856,맹그로브 신설점,4.0,서울,동대문구
2469,e_e000856,맹그로브 신설점,4.0,서울,동대문구
2503,e_e000861,토요코인 호텔 서울 동대문 2,5.0,서울,중구
2509,e_e000861,토요코인 호텔 서울 동대문 ,5.0,서울,중구
2517,e_e000863,소풍 모텔,3.0,경기,성남시
2519,e_e000863,호텔 아르떼,5.0,경기,수원시
2524,e_e000863,호텔 아르떼,5.0,경기,수원시
2530,e_e000865,오션 솔레 뷰 호텔,4.0,인천,중구
2532,e_e000865,오션 솔레 뷰 호텔,4.0,인천,중구
2538,e_e000872,칼봉산 자연휴양림,5.0,경기,가평군
2571,e_e000883,토요코인 호텔 서울 강남점,5.0,서울,서초구
2594,e_e000902,돈키호테,5.0,인천,중구
2597,e_e000902,오션파크 나인 호텔,5.0,인천,중구
2604,e_e000906,장화리 낙조마을,5.0,인천,강화군
2605,e_e000906,바다로 글램핑,5.0,인천,강화군
2648,e_e000917,파로스 관광호텔,5.0,서울,송파구
2651,e_e000917,파로스 관광호텔,5.0,서울,송파구
2653,e_e000917,파로스 관광호텔,5.0,서울,송파구
2670,e_e000930,어반 스테이 부티크 익선,4.0,서울,종로구
2674,e_e000930,어반 스테이 부티크 익선,4.0,서울,종로구
2711,e_e000936,올라 카이 송도파크호텔,5.0,인천,연수구
2713,e_e000936,올라 카이 송도파크호텔,5.0,인천,연수구
2728,e_e000942,평화누리 체험장,1.0,경기,연천군
2753,e_e000946,파크 하얏트 서울,5.0,서울,강남구
2756,e_e000946,파크 하얏트 서울,5.0,서울,강남구
2764,e_e000947,한화리조트,3.0,경기,포천시
2788,e_e000951,궁 게스트하우스,3.0,서울,종로구
2792,e_e000951,궁 게스트하우스,3.0,서울,종로구
2965,e_e000994,크리스 월드,3.0,경기,가평군
2994,e_e000998,새 연가라 반리조트 가평 현리 1호점,4.0,경기,가평군
3014,e_e001001,양평 불한증막,5.0,경기,양평군
3027,e_e001009,티어스 명동,5.0,서울,중구
3030,e_e001009,티어스 명동,5.0,서울,중구
3053,e_e001014,더 플래츠 글램핑,5.0,경기,가평군
3089,e_e001024,브라운 도트 시흥 정왕점,5.0,경기,시흥시
3093,e_e001024,브라운 도트 호텔 정왕점,4.0,경기,시흥시
3144,e_e001030,아난티 코드,5.0,경기,가평군
3147,e_e001030,아난티 코드,5.0,경기,가평군
3199,e_e001041,곤지암리조트,5.0,경기,광주시
3205,e_e001041,곤지암리조트,5.0,경기,광주시
3243,e_e001049,이비스 스타일 앰배서더 인천 에어포트,5.0,인천,중구
3249,e_e001049,이비스 스타일 앰배서더 인천 에어포트,5.0,인천,중구
3266,e_e001059,이비스 앰배서더호텔 수원,4.0,경기,수원시
3269,e_e001059,이비스 앰배서더호텔 수원,4.0,경기,수원시
3278,e_e001060,킹덤 키즈 풀빌라,4.0,경기,가평군
3419,e_e001117,스토리 숲,5.0,경기,포천시
3430,e_e001118,백학 자유로 리조트,5.0,경기,연천군
3435,e_e001124,골든 튤립에버 용인 호텔,4.0,경기,용인시
3530,e_e001142,오션 솔레 뷰 호텔,4.0,인천,중구
3537,e_e001142,오션 솔레 뷰 호텔,4.0,인천,중구
3540,e_e001142,오션 솔레 뷰 호텔,3.0,인천,중구
3548,e_e001142,브라운 도트 인천 송도점,1.0,인천,연수구
