,userID,itemID,rating,SIDO,SI
8,e_e000305,국립 무의도 자연휴양림,3.0,인천,중구
40,e_e000401,더 휴식 아늑 호텔 월곶 지점,2.0,경기,시흥시
42,e_e000401,블룸 비스타,5.0,경기,양평군
44,e_e000401,블룸 비스타,5.0,경기,양평군
74,e_e000463,새와 참새,5.0,경기,가평군
91,e_e000559,박지름 해변,5.0,인천,옹진군
117,e_e000588,HB 엘림 캐슬 오피스텔,5.0,인천,부평구
135,e_e000697,서포리 해변,1.0,인천,옹진군
146,e_e000736,나인 트리 프리미어 호텔 서울 판교,3.0,경기,성남시
150,e_e000736,나인 트리 프리미어 호텔 서울 판교,3.0,경기,성남시
165,e_e000823,어썸 호텔,4.0,인천,중구
179,e_e000823,제이 앤 비 모텔,5.0,인천,옹진군
221,e_e000866,탑클라우드 호텔 수원점,4.0,경기,수원시
249,e_e000903,아르카나 호텔,5.0,인천,옹진군
264,e_e000905,스타즈 호텔 동탄점,5.0,경기,화성시
275,e_e001007,블루오션 레지던스 호텔,5.0,인천,중구
298,e_e001112,인터내셔널호텔,3.0,인천,중구
303,e_e001112,인터내셔널호텔,2.0,인천,중구
307,e_e001122,나인 트리 프리미어 호텔 서울 판교,5.0,경기,성남시
311,e_e001122,나인 트리 프리미어 호텔 서울 판교,5.0,경기,성남시
375,e_e001235,네이처 스파,5.0,경기,파주시
379,e_e001235,광백 저수지,5.0,경기,양주시
390,e_e001249,힐튼 가든인 서울 강남점,5.0,서울,서초구
391,e_e001249,힐튼 가든인 서울 강남점,5.0,서울,서초구
392,e_e001249,힐튼 가든인 서울 강남점 조식 뷔페,5.0,서울,서초구
401,e_e001253,길벗 호텔,2.0,서울,동대문구
411,e_e001268,호텔 여기 어때 안양 1번가점,4.0,경기,안양시
439,e_e001273,CN 스파,4.0,서울,서초구
478,e_e001288,수송 게스트하우스,4.0,서울,종로구
483,e_e001288,수송 게스트하우스,4.0,서울,종로구
486,e_e001288,수송 게스트하우스,3.0,서울,종로구
515,e_e001315,제이앤 파크호텔,3.0,인천,중구
516,e_e001315,제이앤 파크호텔,4.0,인천,중구
519,e_e001315,제이앤 파크호텔,4.0,인천,중구
582,e_e001393,세븐 호텔,5.0,인천,중구
586,e_e001393,세븐 호텔,5.0,인천,중구
587,e_e001393,하버파크호텔,4.0,인천,중구
601,e_e001393,하버파크호텔,5.0,인천,중구
613,e_e001393,하버파크호텔,5.0,인천,중구
619,e_e001398,동두천 자연휴양림,5.0,경기,동두천시
664,e_e001462,골든 튤립에버 용인 호텔,5.0,경기,용인시
673,e_e001462,골든 튤립에버 용인 호텔,5.0,경기,용인시
714,e_e001531,블루 모텔,5.0,인천,강화군
716,e_e001531,블루 모텔,5.0,인천,강화군
719,e_e001531,예 플로,5.0,인천,강화군
741,e_e002041,웨스턴 그레이스호텔,3.0,인천,중구
744,e_e002041,웨스턴 그레이스호텔,4.0,인천,중구
747,e_e002043,오션파크 나인 호텔,5.0,경기,수원시
752,e_e002043,오션파크 나인 호텔,5.0,인천,중구
791,e_e002153,라르고 빌 리조트,4.0,인천,강화군
793,e_e002153,라르고 빌 리조트,3.0,인천,강화군
802,e_e002155,어반 스테이 인천 송도,5.0,인천,연수구
803,e_e002155,어반 스테이 인천 송도,5.0,인천,연수구
814,e_e002261,파라다이스 시티,4.0,인천,중구
820,e_e002261,파라다이스 시티,2.0,인천,중구
826,e_e002274,일루 안 펜트하우스,4.0,인천,옹진군
847,e_e002294,라마다 앙코르 바이 윈덤 김포한강호텔,3.0,경기,김포시
851,e_e002294,라마다 앙코르 바이 윈덤 김포한강호텔,3.0,경기,김포시
861,e_e002299,라마다 앙코르 바이 윈덤 김포한강호텔,4.0,경기,김포시
864,e_e002299,라마다 앙코르 바이 윈덤 김포한강호텔,4.0,경기,김포시
871,e_e002368,모티프원,5.0,경기,파주시
873,e_e002368,모티프원,5.0,경기,파주시
876,e_e002368,모티프원,5.0,경기,파주시
886,e_e002369,실미도 유원지,5.0,인천,중구
975,e_e002448,테이크 호텔,5.0,경기,광명시
991,e_e002468,호텔 그라 모스,5.0,서울,강남구
994,e_e002468,호텔 그라 모스,5.0,서울,강남구
1029,e_e002487,로컬 스티치 시청,3.0,서울,중구
1031,e_e002487,로컬 스티치 시청,5.0,서울,중구
1074,e_e002543,파라다이스 시티,4.0,인천,중구
1078,e_e002545,서울 드래건 시티,5.0,서울,용산구
1079,e_e002545,서울 드래건 시티,4.0,서울,용산구
1120,e_e002612,파라다이스 시티,5.0,인천,중구
1126,e_e002612,파라다이스 시티,5.0,인천,중구
1160,e_e002624,올라 카이 송도파크호텔,5.0,인천,연수구
1175,e_e002642,호텔 오다,5.0,경기,용인시
1192,e_e002661,롤링힐스 호텔,4.0,경기,화성시
1202,e_e002667,어나더 153,3.0,인천,강화군
1204,e_e002667,어나더 153,3.0,인천,강화군
1211,e_e002675,십리포 힐링 카라반,5.0,인천,옹진군
1213,e_e002675,십리포 힐링 카라반,5.0,인천,옹진군
1224,e_e002680,한라 웨스턴 파크송도,4.0,인천,연수구
1262,e_e002693,월미도 관광호텔,5.0,인천,중구
1278,e_e002696,호텔꼬뮨,1.0,경기,포천시
1311,e_e002734,블루오션 레지던스 호텔,5.0,인천,중구
1314,e_e002734,블루오션 레지던스 호텔,5.0,인천,중구
1316,e_e002734,블루오션 레지던스 호텔,5.0,인천,중구
1321,e_e002752,네스트 호텔,5.0,인천,중구
1323,e_e002752,네스트 호텔,5.0,인천,중구
1327,e_e002752,네스트 호텔,5.0,인천,중구
1338,e_e002772,오크우드프리미어,5.0,인천,연수구
1341,e_e002772,오크우드프리미어,5.0,인천,연수구
1418,e_e002930,드라이브 인 호텔 물,4.0,경기,광주시
1439,e_e002946,W 지우 리조트,4.0,경기,가평군
1448,e_e002947,파라다이스 시티,5.0,인천,중구
1475,e_e002961,네스트 호텔,4.0,인천,중구
1477,e_e002961,네스트 호텔,4.0,인천,중구
1485,e_e002966,실미 유원지,4.0,인천,중구
1558,e_e003026,그랜드 하얏트 인천,1.0,인천,중구
1579,e_e003046,IMT 모텔,5.0,서울,종로구
1583,e_e003046,IMT 모텔,4.0,서울,종로구
1609,e_e003053,하이텔,4.0,경기,여주시
1611,e_e003053,하이텔,3.0,경기,여주시
1634,e_e003091,오투 호텔,5.0,인천,연수구
1703,e_e003215,케이팝 호텔,5.0,경기,가평군
1705,e_e003215,케이팝 호텔,5.0,경기,가평군
1709,e_e003216,해 호텔,5.0,경기,양주시
1733,e_e003234,샌드시아,4.0,인천,옹진군
1735,e_e003234,샌드시아,4.0,인천,옹진군
1737,e_e003234,샌드시아,4.0,인천,옹진군
1743,e_e003244,쉐라톤 그랜드 인천 호텔,5.0,인천,연수구
1746,e_e003244,쉐라톤 그랜드 인천 호텔,5.0,인천,연수구
1752,e_e003244,쉐라톤 그랜드 인천 호텔,5.0,인천,연수구
1760,e_e003254,오션 솔레 뷰 호텔,4.0,인천,중구
1763,e_e003254,오션 솔레 뷰 호텔,4.0,인천,중구
1782,e_e003284,모노 65,4.0,인천,옹진군
1792,e_e003310,오션파크 나인,4.0,인천,중구
1797,e_e003310,오션파크 나인 호텔,4.0,인천,중구
1823,e_e003385,네스트 호텔,5.0,인천,중구
1827,e_e003385,네스트 호텔,5.0,인천,중구
1829,e_e003385,네스트 호텔,5.0,인천,중구
1897,e_e003448,오션 솔레 뷰 호텔,4.0,인천,중구
1952,e_e003461,오션 솔레 뷰 호텔,3.0,인천,중구
1955,e_e003461,오션 솔레 뷰 호텔,3.0,인천,중구
1966,e_e003488,라르고 빌 리조트,5.0,인천,강화군
1968,e_e003488,라르고 빌 리조트,4.0,인천,강화군
1975,e_e003489,스텔라 마리스 호텔,4.0,인천,중구
2001,e_e003496,에어 스카이 호텔,5.0,인천,중구
2005,e_e003496,에어 스카이 호텔,5.0,인천,중구
2029,e_e003522,호텔 아트리움 종로,2.0,서울,종로구
2037,e_e003595,네스트 호텔,4.0,인천,중구
2061,e_e003606,더 위크앤 리조트,4.0,인천,중구
2075,e_e003607,호텔 서클 합정점,4.0,서울,마포구
2077,e_e003607,호텔 서클 합정점,4.0,서울,마포구
2083,e_e003624,강화도 레미 마을,3.0,인천,강화군
2137,e_e003720,위코스테이,5.0,인천,중구
2176,e_e003742,콜 투 마인드,5.0,인천,중구
2180,e_e003742,오션파크 나인 호텔,4.0,인천,중구
2190,e_e003748,더 프린스호텔,1.0,인천,중구
2198,e_e003759,오션 솔레 뷰 호텔,4.0,인천,중구
2201,e_e003759,오션 솔레 뷰 호텔,3.0,인천,중구
2231,e_e003800,웨스턴 그레이스호텔,5.0,인천,중구
2239,e_e003812,홀리데이인 인천 송도,1.0,인천,연수구
2262,e_e003841,랜드마크 송도 스테이,5.0,인천,연수구
2272,e_e003846,에어 스카이 호텔,4.0,인천,중구
2276,e_e003846,에어 스카이 호텔,3.0,인천,중구
2279,e_e003846,에어 스카이 호텔,4.0,인천,중구
2287,e_e003851,라마다 앙코르 바이 윈덤 김포한강호텔,5.0,경기,김포시
2289,e_e003851,라마다 앙코르 바이 윈덤 김포한강호텔,4.0,경기,김포시
2321,e_e003890,힐링 모텔,2.0,인천,중구
2337,e_e003905,라마다 앙코르 바이 윈덤 김포한강호텔,4.0,경기,김포시
2345,e_e003954,오션 솔레 뷰 호텔,4.0,인천,중구
2356,e_e003962,라르고 빌 리조트,5.0,인천,강화군
2380,e_e004025,더 위크앤 리조트,5.0,인천,중구
2384,e_e004025,더 위크앤 리조트,5.0,인천,중구
2385,e_e004025,더 위크앤 리조트,5.0,인천,중구
2393,e_e004034,라르고 빌 리조트,5.0,인천,강화군
2395,e_e004034,라르고 빌 리조트,5.0,인천,강화군
2405,e_e004065,제이파크호텔,3.0,경기,광주시
2456,e_e004184,네스트 호텔,5.0,인천,중구
2461,e_e004184,네스트 호텔,5.0,인천,중구
2465,e_e004186,파라다이스 시티,5.0,인천,중구
2502,e_e004239,더 레스트 관광호텔,3.0,인천,중구
2505,e_e004239,더 레스트 관광호텔,4.0,인천,중구
2523,e_e004260,아시아드 반월 호텔 구월동점,3.0,인천,남동구
2544,e_e004331,더 위크앤 리조트,4.0,인천,중구
2548,e_e004331,더 위크앤 리조트,3.0,인천,중구
2553,e_e004335,베스트웨스턴 프리미어 인천 에어포트 호텔,5.0,인천,중구
2583,e_e004439,스카이랜드 카라반 호텔 리조트,4.0,인천,강화군
2594,e_e004446,바다로 글램핑,5.0,인천,강화군
2604,e_e004448,숲속의 오후,4.0,인천,강화군
2608,e_e004448,숲속의 오후,4.0,인천,강화군
2655,e_e004684,그랜드 하얏트 인천,5.0,인천,중구
2666,e_e004707,파크 마린 호텔,2.0,인천,남동구
2674,e_e004707,하버파크호텔,5.0,인천,중구
2679,e_e004708,제이 브리야,5.0,경기,화성시
2689,e_e004721,더 노벰버 스테이 송도 랜드마크 점,5.0,인천,연수구
2690,e_e004721,더 노벰버 스테이 송도 랜드마크 점,5.0,인천,연수구
2703,e_e004721,더 노벰버 스테이 송도 랜드마크 점,5.0,인천,연수구
2705,e_e004721,더 노벰버 스테이 송도 랜드마크 점,5.0,인천,연수구
2738,e_e004855,그랜드 하얏트 인천 웨스트타워,4.0,인천,중구
2743,e_e004855,그랜드 하얏트 인천 웨스트타워,4.0,인천,중구
2745,e_e004855,그랜드 하얏트 인천 웨스트타워,4.0,인천,중구
2747,e_e004855,그랜드 하얏트 인천 웨스트타워,4.0,인천,중구
2772,e_e004897,브라운 도트 호텔 을왕리점,5.0,인천,중구
2777,e_e004897,브라운 도트 호텔 을왕리점,5.0,인천,중구
2809,e_e005215,주안 보석사우나,4.0,인천,미추홀구
2812,e_e005215,옹암 파라다이스,4.0,인천,옹진군
2817,e_e005215,옹암 파라다이스,4.0,인천,옹진군
2831,e_e005230,연화문 호텔,5.0,인천,중구
2836,e_e005230,연화문 호텔,5.0,인천,중구
2846,e_e005249,리틀 미코노스,3.0,인천,옹진군
2850,e_e005249,리틀 미코노스,4.0,인천,옹진군
2854,e_e005249,리틀 미코노스,5.0,인천,옹진군
2884,e_e005309,블루오션 레지던스 호텔,5.0,인천,중구
