category,itemID,SIDO,SI
자연,서울숲,서울,성동구
자연,오이도,경기,시흥시
자연,아침고요수목원,경기도,가평군
자연,물왕 호수,경기,시흥시
자연,남이섬,강원특별자치도,춘천시
도시,코엑스,서울,강남구
도시,롯데월드타워,서울,송파구
도시,송도센트럴파크,인천,인천
도시,동대문디자인플라자,서울,중구
도시,광교호수공원,경기,수원시
관광,경복궁,수도권,서울시
관광,에버랜드,경기,용인시
관광,리움미술관,서울,용산구
관광,수원 화성 화홍문,경기,수원시
관광,행주산성,경기,고양시
관광,광장시장,서울,종로구
관광,통인시장,서울,종로구
휴식,연천 전곡리 선사유적지,경기,연천군
휴식,왕방 계곡,경기,동두천시
휴식,용추계곡,경남,함양군
휴식,쉬자 파크,경기,양평군
휴식,광교역사 공원,경기,수원시
휴식,프로방스 마을,경기,파주시
휴식,효원공원 월화원,경기,수원시
사진O,경복궁,서울,종로구
사진O,디오르 성수,서울,성동구
사진O,롯데월드타워,서울,송파구
사진O,한남동 카페거리,서울,용산구
사진O,성수동 카페거리,서울,성동구
사진X,화성 관광열차 안내소,수도권,화성시
사진X,농협안성팜랜드,경기,안성시
사진X,수기 해변,인천,옹진군
사진X,이함 캠퍼스,경기,양평군
사진X,전곡선사 박물관,경기,연천군
자연,노산공원,경남,사천시
자연,설악산 국립공원,강원특별자치도,인제군
자연,매봉산 바람의 언덕,강원특별자치도,태백시
자연,화진포해변,강원특별자치도,고성군
자연,입곡 군립 공원,경남,함안군
자연,수성못,대구광역시,대구광역시
자연,해운대 달맞이 길,부산광역시,부산광역시
도시,롯데백화점 센텀시티점,부산광역시,부산광역시
도시,부산 아시아드 보조경기장,부산광역시,부산광역시
도시,서면 지하상가,부산광역시,부산광역시
도시,국제시장 먹자골목,부산광역시,부산광역시
도시,동성로 로데오거리,대구광역시,대구광역시
관광,아모레 부산,부산광역시,부산광역시
관광,미국마을,경남,남해군
관광,남해 독일마을,경남,남해군
관광,진주성,경남,진주시
관광,사천 바다 케이블카,경남,사천시
