category,itemID,SIDO,SI,CODE
자연,서울숲,수도권,서울시,E
자연,오이도,수도권,시흥시,E
자연,아침고요수목원,수도권,가평군,E
자연,물왕 호수,수도권,시흥시,E
자연,남이섬,강원도,춘천시,E
도시,코엑스,수도권,서울시,E
도시,롯데월드타워,수도권,서울시,E
도시,송도센트럴파크,수도권,인천광역시,E
도시,동대문디자인플라자,수도권,서울시,E
도시,광교호수공원,수도권,수원시,E
관광,경복궁,수도권,서울시,E
관광,에버랜드,수도권,용인시,E
관광,리움미술관,수도권,서울시,E
관광,수원 화성 화홍문,수도권,수원시,E
관광,행주산성,수도권,고양시,E
관광,광장시장,수도권,서울시,E
관광,통인시장,수도권,서울시,E
휴식,연천 전곡리 선사유적지,수도권,연천군,E
휴식,왕방 계곡,수도권,동두천시,E
휴식,용추계곡,경상남도,함양군,E
휴식,쉬자 파크,수도권,양평군,E
휴식,광교역사 공원,수도권,수원시,E
휴식,프로방스 마을,수도권,파주시,E
휴식,효원공원 월화원,수도권,수원시,E
사진O,경복궁,수도권,서울시,E
사진O,디오르 성수,수도권,서울시,E
사진O,롯데월드타워,수도권,서울시,E
사진O,한남동 카페거리,수도권,서울시,E
사진O,성수동 카페거리,수도권,서울시,E
사진X,화성 관광열차 안내소,수도권,화성시,E
사진X,농협안성팜랜드,수도권,안성시,E
사진X,수기 해변,수도권,옹진군,E
사진X,이함 캠퍼스,수도권,양평군,E
사진X,전곡선사 박물관,수도권,연천군,E
자연,노산공원,경상남도,사천시,F
자연,설악산 국립공원,강원도,인제군,F
자연,매봉산 바람의 언덕,강원도,태백시,F
자연,화진포해변,강원도,고성군,F
자연,입곡 군립 공원,경상남도,함안군,F
자연,수성못,경상북도,대구광역시,F
자연,해운대 달맞이 길,경상남도,부산광역시,F
도시,롯데백화점 센텀시티점,경상남도,부산광역시,F
도시,부산 아시아드 보조경기장,경상남도,부산광역시,F
도시,서면 지하상가,경상남도,부산광역시,F
도시,국제시장 먹자골목,경상남도,부산광역시,F
도시,동성로 로데오거리,경상북도,대구광역시,F
관광,아모레 부산,경상남도,부산광역시,F
관광,미국마을,경상남도,남해군,F
관광,남해 독일마을,경상남도,남해군,F
관광,진주성,경상남도,진주시,F
관광,사천 바다 케이블카,경상남도,사천시,F
관광,대구 이월드,경상북도,대구광역시,F
관광,비발디파크 루지 월드,강원도,홍천군,F
관광,문경새재 오픈세트장,경상북도,문경시,F
휴식,송도 해상 케이블카 송도 베이 스테이션,경상남도,부산광역시,F
휴식,상족암 군립 공원,강원도,고성군,F
휴식,달성 공원,경상북도,대구광역시,F
휴식,선암호수 공원,경상북도,울산광역시,F
휴식,하늘 목장,강원도,평창군,F
사진O,오륙도 스카이워크,경상남도,부산광역시,F
사진O,강문해변,강원도,강릉시,F
사진O,카페 감자밭 본점,강원도,춘천시,F
사진O,동궁과 월지 연꽃 단지,경상북도,경주시,F
사진O,강릉 카페 거리,강원도,강릉시,F
사진X,토성농협 하나로마트 본점,강원도,고성군,F
사진X,신창 간이해수욕장,경상북도,포항시,F
사진X,문경오미자 테마공원,경상북도,문경시,F
사진X,화왕산,경상남도,창녕군,F
사진X,장사 상륙작전 전승기념관,경상북도,영덕군,F
럭셔리숙박,파라다이스 시티,수도권,서울시,E
럭셔리숙박,서울 신라호텔,수도권,서울시,E
럭셔리숙박,호텔 나루 서울 엠 갤러리,수도권,서울시,E
럭셔리숙박,소피텔앰배서더,수도권,서울시,E
럭셔리숙박,더블트리 바이 힐튼 서울 판교,수도권,성남시,E
가성비숙박,나인 트리 프리미어 호텔 명동,수도권,서울시,E
가성비숙박,브라운 도트 용인점,수도권,용인시,E
가성비숙박,드림 게스트하우스,수도권,서울시,E
가성비숙박,준 게스트하우스,수도권,서울시,E
가성비숙박,라마다 인천 호텔,수도권,남동구,E
럭셔리숙박,그랜드 엘시티 레지던스,경상남도,부산광역시,F
럭셔리숙박,파라다이스 호텔,경상남도,해운대구,F
럭셔리숙박,알펜시아리조트,강원도,평창군,F
럭셔리숙박,힐튼 경주,경상북도,경주시,F
럭셔리숙박,힐튼호텔,경상북도,경주시,F
가성비숙박,호텔 센트럴베이,경상남도,부산광역시,F
가성비숙박,굿모닝 호텔,강원도,속초시,F
가성비숙박,다락방 게스트하우스,,구례군,F
가성비숙박,경주 게스트하우스,경상북도,경주시,F
가성비숙박,프렌드우정 모텔,경상북도,문경시,F
자연,국립세종수목원,수도권,세종특별시,G
자연,한밭수목원,충청남도,대전광역시,G
자연,순천만 국가정원,전라남도,순천시,G
자연,신두리 해안사구,충청남도,태안군,G
자연,지산유원지,전라남도,광주광역시,G
도시,국립 중앙과학관,충청남도,대전광역시,G
도시,여수 낭만포차 거리,전라남도,여수시,G
도시,이순신광장,전라남도,여수시,G
도시,전주한옥마을,전라북도,전주시,G
도시,광주예술의 거리,전라남도,광주광역시,G
관광,군산근대화 거리,전라북도,군산시,G
관광,충주 라바 랜드,충청북도,충주시,G
관광,메타 프로방스,전라남도,담양군,G
관광,테디베어뮤지엄 군산점,전라북도,군산시,G
관광,아쿠아플라넷 여수,전라남도,여수시,G
휴식,현충사,충청남도,아산시,G
휴식,담양온천,전라남도,담양군,G
휴식,한옥마을 도서관,전라북도,전주시,G
휴식,아가페 정원,전라북도,익산시,G
휴식,박달재 자연휴양림,충청북도,제천시,G
사진O,지중해마을,충청남도,아산시,G
사진O,녹테마레,전라남도,여수시,G
사진O,아미 미술관,충청남도,당진시,G
사진O,한옥네컷,전라북도,전주시,G
사진O,장미 갤러리,전라북도,군산시,G
사진X,전주한옥 레일바이크,전라북도,전주시,G
사진X,단양 청춘 패러,충청북도,단양군,G
사진X,여수 해상 케이블카,전라남도,여수시,G
사진X,땅끝 모노레일,전라남도,해남군,G
사진X,디오션리조트 워터파크,전라남도,여수시,G
럭셔리숙박,여수 비치리조트,전라남도,여수시,G
럭셔리숙박,코트야드 바이 메리어트 세종,수도권,세종특별시,G
럭셔리숙박,소노벨,전라북도,부안군,G
럭셔리숙박,쏠비치,전라남도,진도군,G
럭셔리숙박,라마다플라자 광주 호텔,전라남도,광주광역시,G
가성비숙박,호텔써밋,전라남도,광주광역시,G
가성비숙박,호텔 아이콘,전라북도,군산시,G
가성비숙박,종달새 노래할 때,전라남도,신안군,G
가성비숙박,제이브라운 호텔,전라북도,전주시,G
가성비숙박,라움 스테이,충청남도,서천군,G
자연,백록담,제주도,서귀포시,H
자연,섭지코지,제주도,서귀포시,H
자연,사계해변,제주도,서귀포시,H
자연,성산일출봉,제주도,서귀포시,H
자연,새별 오름,제주도,제주시,H
도시,이중섭거리,제주도,서귀포시,H
도시,오설록 티 뮤지엄,제주도,서귀포시,H
도시,제주민속촌,제주도,서귀포시,H
도시,애월 카페거리,제주도,제주시,H
도시,우무,제주도,제주시,H
관광,박물관은 살아있다 제주 중문점,제주도,서귀포시,H
관광,스누피가든,제주도,제주시,H
관광,해녀박물관,제주도,제주시,H
관광,아쿠아 플라넷 제주,제주도,서귀포시,H
관광,신화 테마파크,제주도,서귀포시,H
휴식,서귀포 치유의 숲,제주도,서귀포시,H
휴식,비밀의 숲,제주도,제주시,H
휴식,레몬 뮤지엄,제주도,서귀포시,H
휴식,노바운더리 제주,제주도,서귀포시,H
휴식,휴애리 자연생활공원,제주도,서귀포시,H
사진O,에코랜드 테마파크,제주도,제주시,H
사진O,카멜리아힐,제주도,서귀포시,H
사진O,아르떼 뮤지엄 제주,제주도,제주시,H
사진O,빛의 벙커,제주도,서귀포시,H
사진O,애월 카페거리,제주도,제주시,H
사진X,제주 스카이랩 패러글라이딩 체험비행장소,제주도,제주시,H
사진X,9.81파크,제주도,제주시,H
사진X,퐁당 제주,제주도,제주시,H
사진X,액티브 파크,제주도,제주시,H
사진X,제주 웨이브 서핑,제주도,제주시,H
럭셔리숙박,훈데르트 힐즈,제주도,제주시,H
럭셔리숙박,제이투 호스텔,제주도,제주시,H
럭셔리숙박,캠퍼트리 호텔 앤리조트,제주도,제주시,H
럭셔리숙박,썬앤문리조트,제주도,서귀포시,H
럭셔리숙박,썬앤문리조트,제주도,서귀포시,H
럭셔리숙박,WE 호텔,제주도,서귀포시,H
럭셔리숙박,라마다플라자 제주호텔,제주도,제주시,H
가성비숙박,제이투 호스텔,제주도,제주시,H
가성비숙박,히든 스테이,제주도,서귀포시,H
가성비숙박,블루마운틴 호텔,제주도,서귀포시,H
가성비숙박,신신호텔 제주 오션,제주도,서귀포시,H
가성비숙박,아루미 호텔 중문,제주도,서귀포시,H
